"Title","Average_2014","Total_2014","Average_2015","Total_2015","Average_2016","Total_2016","Average_2017","Total_2017","Average_2018","Total_2018","Average_2019","Total_2019","Average_2020","Total_2020"
"DIRECTOR OF URBAN PARK RANGER PROGRAM",NA,NA,NA,NA,"$0.00","$0","$0","$0","$1,132.96","$3,399","$1.05","$2","$0.00","$0"
"DIRECTOR OR MANAGEMENT",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"DIRECTOR URBAN ARCHAEOLOGY - LPC","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR, DATA PROCESSING COORDINATION","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR, NYC ART COMMISSION",NA,NA,"$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR, OFFICE OF OPERATIONS","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"DIRECTOR, PUBLIC AFFAIRS AND COMMUNICATION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DIRECTOR,CITYWIDE OCCUPATIONAL SAFETY & HEALTH PROGRAM","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DISABILITY ACCOMMODATIONS SPECIALIST","$0.00","$0","$0.00","$0","$14.95","$30","$115","$230","$0.00","$0","$0.00","$0","$0.00","$0"
"DISTINGUISHED LECTURER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"DISTINGUISHED PROFESSOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,NA,NA
"DISTRICT ATTORNEY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DISTRICT MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"DISTRICT MANAGER OF ADMINISTRATION AND BUSINESS AFFAIRS","$589.04","$7,658","$309.98","$3,720","$444.44","$5,333","$628","$7,541","$802.39","$10,431","$491.47","$5,898","$709.84","$8,518"
"DISTRICT SUPERVISOR","$26,679.10","$560,261","$33,135.54","$728,982","$32,478.51","$682,049","$40,350","$928,042","$37,708.53","$791,879","$38,163.76","$839,603","$36,452.75","$729,055"
"DOCKMASTER",NA,NA,NA,NA,"$1,507.84","$1,508",NA,NA,NA,NA,NA,NA,NA,NA
"ECONOMIST","$0.00","$0","$0.00","$0","$0.00","$0","$499","$7,980","$1,638.15","$36,039","$664.17","$21,253","$323.58","$20,385"
"EDUCATION & VOCAT COUNSELOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EDUCATION ANALYST","$172.03","$1,548","$104.87","$1,049","$888.84","$8,000","$820","$4,918","$40.92","$286","$113.47","$1,702","$290.39","$10,744"
"EDUCATION ANALYST TRAINEE","$98.34","$590","$210.41","$2,104","$53.32","$960","$25","$535","$248.27","$5,710","$601.91","$13,242","$1,118.99","$17,904"
"EDUCATION OFFICER","$436.01","$31,392","$364.80","$67,488","$445.83","$73,117","$446","$51,287","$413.57","$34,740","$457.90","$66,396","$512.72","$74,344"
"EDUCATIONAL ADMINISTRATOR",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,NA,NA
"EDUCATIONAL ADMINISTRATOR CSA","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"EDUCATIONAL ADMINISTRATOR UFT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EDUCATIONAL MANAGEMENT ASSOCIATE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ELECTRICAL ENGINEER","$7,456.15","$119,298","$9,516.79","$161,785","$7,924.50","$142,641","$4,307","$81,833","$742.58","$8,911","$1,011.26","$11,124","$1,226.66","$15,947"
"ELECTRICAL ENGINEERING INTERN","$605.26","$1,211","$2,158.90","$10,795","$7,206.37","$7,206","$3,082","$3,082","$23.14","$46","$62.78","$565","$841.51","$3,366"
"ELIGIBILITY SPECIALIST","$1,368.25","$2,616,103","$1,363.90","$2,645,962","$1,553.82","$2,840,384","$2,429","$4,197,987","$2,453.23","$4,410,901","$2,585.98","$4,484,081","$3,160.59","$5,208,652"
"EMERGENCY MEDICAL SPECIALIST-EMT","$6,813.90","$13,402,940","$7,089.06","$15,198,935","$6,615.60","$15,599,581","$6,234","$16,303,116","$7,122.22","$16,893,910","$8,875.21","$21,992,761","$8,750.52","$21,578,774"
"EMERGENCY MEDICAL SPECIALIST-PARAMEDIC","$11,321.92","$8,785,809","$11,712.73","$9,053,942","$13,973.66","$11,067,135","$15,325","$11,647,089","$17,255.52","$11,595,708","$19,713.47","$13,503,727","$18,902.64","$14,139,171"
"EMERGENCY MEDICAL SPECIALIST TRAINEE",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$1,023.96","$1,024","$2,762.18","$16,573"
"EMERGENCY PREPAREDNESS MANAGER","$1,637.81","$49,134","$581.56","$25,589","$203.57","$10,993","$228","$11,860","$1,646.92","$105,403","$542.06","$35,234","$11.78","$813"
"EMERGENCY PREPAREDNESS SPECIALIST","$4,534.43","$226,721","$5,221.26","$370,709","$4,914.28","$343,999","$4,496","$382,148","$6,510.64","$572,937","$5,337.40","$453,679","$14,926.80","$1,447,900"
"EMERGENCY SERVICE AIDE","$1,881.94","$152,437","$2,012.50","$132,825","$2,719.23","$165,873","$3,955","$217,512","$4,059.18","$194,841","$3,737.58","$186,879","$3,048.57","$152,428"
"EMPLOYEE ASSISTANCE PROGRAM SPECIALIST","$368.07","$4,785","$134.56","$1,884","$0.00","$0","$291","$3,496","$424.13","$5,090","$158.70","$2,063","$1,265.82","$12,658"
"EMPLOYEE HEALTH BENEFITS PROGRAM DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ENGINEERING TECHNICIAN","$3,263.80","$199,092","$3,930.70","$267,288","$4,144.98","$248,699","$6,540","$503,560","$6,868.77","$460,207","$8,030.77","$538,062","$5,815.50","$441,978"
"ENGINEERING WORK STUDY TRAINEE",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$2,358.24","$2,358"
"ENVIRONMENTAL ENGINEER","$5,103.98","$40,832","$6,202.60","$49,621","$8,894.72","$62,263","$7,271","$65,438","$6,734.91","$40,409","$4,776.17","$9,552","$1,632.82","$3,266"
"ENVIRONMENTAL ENGINEERING INTERN","$1,162.03","$18,592","$797.30","$797","$1,509.57","$3,019","$710","$9,943","$1,692.56","$11,848","$122.78","$2,701","$2,414.82","$33,808"
"ENVIRONMENTAL HEALTH TECHNICIAN","$10.63","$21",NA,NA,NA,NA,"$0","$0","$26.16","$78","$0.00","$0",NA,NA
"ENVIRONMENTAL POLICE OFFICER","$7,324.95","$1,362,441","$4,517.20","$831,166","$7,175.52","$1,363,348","$4,869","$891,042","$4,406.13","$881,227","$2,513.89","$480,152","$3,347.73","$716,415"
"ENVIRONMENTAL POLICE OFFICER-MANAGERIAL","$3,758.21","$22,549","$28.36","$170","$1,692.87","$8,464","$0","$0","$946.18","$8,516","$0.00","$0","$0.00","$0"
"EOC ACCOUNTANT","$121.54","$243","$22.01","$44","$202.36","$405",NA,NA,NA,NA,NA,NA,NA,NA
"EOC ACCOUNTING ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0","$181","$544","$416.67","$1,250","$326.56","$980","$166.22","$499"
"EOC ADMINISTRATIVE ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EOC ASSISTANT TO HEO","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$15.95","$255","$60.96","$671","$11.34","$204"
"EOC COLLEGE LAB TECHNICIAN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EOC CUSTODIAL ASSISTANT","$0.00","$0","$0.00","$0",NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EOC HIGHER EDUCATION ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EOC HIGHER EDUCATION ASSOCIATE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EOC HIGHER EDUCATION OFFICER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EOC IT SUPPORT ASSISTANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"EOC LECTURER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EOC LECTURER/ DOCTRAL SCHEDULE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EOC MAIL/MESSAGE SERVICES WORKER","$180.33","$361","$1,005.65","$1,006","$33.27","$33","$256","$256","$71.86","$72","$67.40","$67","$27.58","$28"
"EOC OFFICE ASSISTANT","$23.33","$280","$136.60","$1,776","$92.14","$1,290","$164","$2,619","$153.88","$2,308","$162.54","$2,276","$153.58","$2,150"
"EQUAL EMPLOYMENT OPPORTUNITY OFFICER",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"EQUAL RIGHTS COMPLIANCE SPECIALIST","$0.00","$0","$0.10","$1","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$1,002.48","$18,045"
"ESTIMATOR","$310.65","$2,796","$867.25","$8,672","$2,268.83","$27,226","$5,004","$55,044","$854.18","$13,667","$396.12","$3,961","$651.84","$5,215"
"EVIDENCE AND PROPERTY CONTROL SPECIALIST","$4,453.70","$400,833","$6,313.13","$568,182","$6,502.42","$572,213","$5,768","$772,860","$5,168.94","$821,862","$6,389.12","$958,368","$6,252.74","$1,081,724"
"EXAMINER OF ACCOUNTS","$0.00","$0","$0.00","$0","$4,411.20","$8,822","$1,117","$3,351","$0.00","$0","$1,172.77","$3,518","$2,460.91","$7,383"
"EXAMINING ATTORNEY","$888.56","$9,774","$798.83","$9,586","$552.51","$6,630","$336","$4,027","$902.64","$9,026","$1,095.85","$12,054","$270.08","$3,241"
"EXEC ASST TO THE COMMISSIONER OF FINANCE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"EXEC ASST TO THE DEPUTY COM FOR CITYWIDE PERSONNEL SVCS-DCAS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXEC ASST TO THE DEPUTY COMMISSIONER","$50.18","$100","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXEC DIRECTOR OF GRANTS MANAGEMENT AND ADMINISTRATION",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,NA,NA
"EXECUTIVE ADMINISTRATOR OF GRACIE MANSION",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE AGENCY COUNSEL","$86.99","$32,620","$37.27","$15,541","$11.43","$4,859","$16","$7,303","$20.08","$9,740","$49.44","$25,562","$106.99","$58,307"
"EXECUTIVE ASSISTANT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$189.39","$4,545","$201.20","$4,427","$17.70","$354"
"EXECUTIVE ASSISTANT-MIDTOWN ENFORCEMENT",NA,NA,NA,NA,NA,NA,"$1,284","$1,284","$1,546.01","$1,546","$1,207.79","$1,208","$246.33","$246"
"EXECUTIVE ASSISTANT AND COUNSEL TO THE PUBLIC ADVOCATE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"EXECUTIVE ASSISTANT FOR PLANNING",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE ASSISTANT TO COMMISSIONER OF TRANSPORTATION","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EXECUTIVE ASSISTANT TO THE CHAIRMAN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,"$0.00","$0",NA,NA
"EXECUTIVE ASSISTANT TO THE CHANCELLOR","$0.00","$0","$0.00","$0",NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE ASSISTANT TO THE CHIEF ADMINISTRATIVE LAW JUDGE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"EXECUTIVE ASSISTANT TO THE CITY CLERK","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE ASSISTANT TO THE COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$5.90","$41"
"EXECUTIVE ASSISTANT TO THE COMMISSIONER OF COMMUNITY DEVELOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"EXECUTIVE ASSISTANT TO THE COMPTROLLER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE ASSISTANT TO THE DEPUTY COMMISSIONER",NA,NA,"$0.00","$0","$2,944.92","$2,945",NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE ASSISTANT TO THE DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"EXECUTIVE ASSISTANT TO THE EXECUTIVE DEPUTY ADM",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE ASSISTANT TO THE FIRST DEPUTY CLERK","$69.21","$69","$2.11","$2","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"EXECUTIVE ASSISTANT TO THE HUMAN RESOURCES ADMIN",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,NA,NA
"EXECUTIVE ASSISTANT TO THE PRESIDENT OF THE TAX COMMISSION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE ASST-DOMESTIC VIOLENCE-HRA","$0.00","$0","$0.00","$0","$0.00","$0","$39","$156","$68.73","$275","$0.99","$3","$8.43","$34"
"EXECUTIVE ASST TO THE COMMISSIONER","$711.02","$711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"EXECUTIVE ASST TO THE NYC COMMISSION TO THE UNITED NATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$2,620.47","$2,620"
"EXECUTIVE CHIEF OF STAFF","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"EXECUTIVE COOK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"EXECUTIVE DEPUTY ADMINISTRATOR","$0.00","$0","$0.00","$0",NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE DEPUTY COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"EXECUTIVE DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE DIRECTOR OF ADMINISTRATION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE DIRECTOR OF FLEET OPERATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"EXECUTIVE DIRECTOR OF FOOD SERVICES","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EXECUTIVE DIRECTOR OF MATERIALS FOR THE ARTS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE DIRECTOR OF PROFESSIONAL DEVELOPMENT",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE DIRECTOR OF STANDARDS AND APPEALS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"EXECUTIVE DIRECTOR ON COMMISSION ON GENDER EQUALITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"EXECUTIVE DIRECTOR TO THE ENVIRONMENTAL CONTROL BOARD","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EXECUTIVE DIRECTOR, NEW YORK CITY LOFT BOARD",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0",NA,NA
"EXECUTIVE DIRECTOR, TECHNOLOGICAL DEVELOPMENT","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EXECUTIVE INSPECTOR",NA,NA,"$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,"$9,793.17","$29,380"
"EXECUTIVE LEGISLATIVE COORDINATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"EXECUTIVE LEGISLATIVE SECRETARY","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Executive Program Specialist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"EXECUTIVE PROGRAM SPECIALIST","$1,163.93","$3,492","$0.00","$0","$2.05","$29","$0","$0","$750.03","$16,501","$71.55","$1,860","$0.00","$0"
"EXECUTIVE SECRETARY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"EXECUTIVE SECRETARY TO CITY CLERK",NA,NA,NA,NA,"$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"EXECUTIVE SECRETARY TO THE PUBLIC ADVOCATE",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"EXTERMINATOR","$2,150.41","$79,565","$1,911.80","$72,648","$3,138.70","$134,964","$5,724","$257,596","$2,409.07","$108,408","$4,731.31","$222,372","$4,101.55","$229,687"
"FACILITIES COORDINATOR","$1,188.41","$2,377","$318.19","$955","$384.39","$1,538","$528","$2,112","$1,057.80","$4,231","$838.08","$3,352","$99.62","$398"
"FAMILY PUB HEALTH NURSE","$21.73","$261","$22.45","$247","$522.15","$7,832","$0","$0","$33.54","$1,509","$13.94","$585","$0.00","$0"
"FERRY TERMINAL SUPERVISOR","$26,135.81","$287,494","$23,511.23","$258,624","$31,868.06","$382,417","$33,521","$435,776","$28,109.25","$337,311","$28,533.85","$342,406","$27,991.59","$391,882"
"FIELD INVESTIGATION SPECIALIST","$291.37","$291","$68.10","$68","$2,183.84","$2,184",NA,NA,NA,NA,NA,NA,NA,NA
"FILM MANAGER","$0.00","$0","$0.00","$0","$56.67","$170","$1,023","$3,068","$124.31","$249","$486.11","$972","$211.06","$422"
"FINANCE OFFICER",NA,NA,"$16,945.67","$16,946","$7,686.35","$7,686","$8,138","$8,138","$23,860.06","$23,860","$20,023.30","$20,023","$12,034.70","$12,035"
"FINANCIAL CLERK",NA,NA,NA,NA,"$9,269.85","$417,143","$10,803","$648,200","$7,568.63","$431,412","$12,776.07","$753,788","$6,670.86","$480,302"
"FINGERPRINT TECHNICIAN TRAINEE","$0.00","$0","$531.27","$2,125","$19.96","$259","$0","$0","$27.31","$601","$81.23","$1,137","$29.17","$117"
"FIRE ALARM DISPATCHER","$11,428.22","$1,519,953","$14,488.78","$1,927,008","$13,890.35","$2,083,553","$15,324","$2,022,788","$20,009.73","$2,621,274","$12,444.18","$1,953,736","$12,968.21","$1,867,422"
"FIRE MARSHAL","$45,385.74","$3,494,702","$55,372.82","$4,595,944","$46,774.64","$4,116,168","$36,558","$3,984,812","$29,772.58","$3,334,529","$33,395.72","$4,441,631","$27,272.24","$3,490,847"
"FIRE MEDICAL OFFICER","$0.00","$0","$0.00","$0","$5.18","$104","$0","$0","$33.89","$644","$0.00","$0","$0.00","$0"
"FIRE PROTECTION INSPECTOR","$4,956.92","$515,520","$5,051.93","$378,895","$7,578.55","$651,755","$6,612","$542,203","$3,956.34","$439,154","$3,359.56","$403,148","$4,258.44","$553,598"
"FIREFIGHTER","$30,639.35","$224,984,731","$30,175.53","$225,350,860","$30,403.12","$235,411,358","$23,589","$189,254,569","$21,984.40","$179,964,304","$20,242.04","$164,830,965","$20,742.45","$162,952,702"
"FIRST ASSISTANT CORPORATION COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"FIRST ASSISTANT TO THE PUBLIC ADVOCATE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"FIRST ASST MARINE ENGINEER","$36,016.39","$72,033","$22,371.84","$44,744","$20,076.66","$80,307",NA,NA,NA,NA,"$17,643.27","$35,287",NA,NA
"FIRST DEPUTY COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"FIRST DEPUTY COMMISSIONER GENERAL COUNSEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"FIRST DEPUTY COMPTROLLER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"FIRST DEPUTY MAYOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"FISCAL AND POLICY ANALYST",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"FITNESS INSTRUCTOR","$0.00","$0","$0.00","$0","$0.00","$0","$474","$7,579","$441.83","$6,627","$0.00","$0","$1,230.09","$18,451"
"FOOD SERVICE ADMINISTRATOR","$20,510.64","$82,043","$17,917.14","$71,669","$35,694.69","$142,779","$8,270","$33,079","$646.99","$1,941","$2,745.44","$10,982","$991.39","$3,966"
"FOOD SERVICE MANAGER","$5,000.66","$50,007","$5,429.94","$54,299","$8,824.48","$88,245","$6,594","$72,536","$819.71","$9,017","$2,731.74","$32,781","$2,380.66","$21,426"
"FORENS MORT TECH-COORD MRT SRV",NA,NA,"$20,148.50","$40,297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORENSIC MORTUARY TECHNICIAN","$5,525.09","$132,602","$20,491.18","$655,718","$21,249.25","$616,228","$20,815","$645,263","$19,828.12","$773,297","$17,645.30","$688,167","$26,779.75","$964,071"
"FORENSIC MORTUARY TECHNICIAN-COORD OF MORTUARY SERVICES",NA,NA,NA,NA,"$14,249.30","$14,249","$15,709","$15,709",NA,NA,NA,NA,NA,NA
"FORESTER","$4,230.45","$169,218","$3,089.85","$126,684","$2,727.51","$152,741","$2,326","$102,323","$1,993.55","$99,677","$1,053.81","$44,260","$1,071.08","$58,909"
"FRAUD INVESTIGATOR","$1,028.94","$640,000","$1,559.56","$902,988","$1,282.66","$672,115","$1,588","$806,786","$1,736.08","$895,819","$1,734.87","$867,433","$1,455.40","$684,037"
"GARDENER","$1,508.84","$140,322","$1,967.00","$175,063","$2,743.32","$257,872","$3,401","$323,063","$2,930.84","$293,084","$4,510.49","$451,049","$3,740.08","$512,391"
"GENERAL COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"GENERAL INSPECTOR","$3,080.42","$3,080","$921.03","$921","$421.82","$422","$2,998","$2,998","$1,278.51","$2,557","$5.94","$6","$791.20","$1,582"
"GENERAL SUPERINTENDENT","$21,290.58","$5,088,448","$22,393.79","$5,643,236","$14,873.38","$3,614,232","$18,461","$4,541,440","$21,073.54","$5,415,901","$19,008.85","$4,847,258","$22,258.11","$5,853,884"
"GEOLOGIST","$34.54","$415","$3.31","$33","$0.00","$0","$55","$885","$69.55","$1,321","$7.60","$152","$54.23","$976"
"GRAPHIC ARTIST","$2,400.14","$48,003","$1,775.43","$46,161","$2,176.51","$76,178","$2,963","$109,628","$2,543.98","$106,847","$2,500.27","$117,513","$2,452.90","$122,645"
"GUIDANCE COUNSELOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"GUIDANCE COUNSELOR-REG SUB","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"GUIDANCE COUNSELOR ASSIGNED A","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"HCCS SR COLLEGE LAB TECH","$0.00","$0",NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"HEAD NURSE","$53.22","$1,064","$150.92","$2,717","$162.24","$2,596","$3","$50","$120.04","$1,801","$126.78","$1,902","$77.84","$1,168"
"HEALTH CARE PROG PLAN/ANALYST","$4.27","$26","$1.03","$6","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"HEALTH SERVICES MANAGER","$7.56","$1,262","$219.46","$43,673","$140.94","$28,329","$0","$0","$32.59","$7,822","$0.00","$0","$0.00","$0"
"HEALTH SERVICES MANAGER NON MANAGERIAL LEVEL I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$282.43","$34,456","$2,701.12","$286,319"
"HEALTH SERVICES MANAGER NON MANAGERIAL LEVEL II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45.74","$1,601","$1,233.06","$46,856"
"HEARING DIRECTOR",NA,NA,"$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"HEARING EXAMINER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"HEATING PLANT TECHNICIAN","$10,478.24","$2,871,039","$3,027.88","$766,054","$4,367.71","$1,087,560","$5,008","$1,261,940","$10,338.76","$2,770,788","$12,673.89","$2,826,277","$17,475.48","$4,386,346"
"HELICOPTER MECHANIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$3,145.60","$3,146","$1,254.77","$1,255"
"HELICOPTER PILOT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$3,208.64","$6,417","$854.96","$1,710"
"HIGH SCHOOL ELEM COUNSELOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"HIGHER EDUCATION ASSISTANT","$115.89","$38,592","$69.48","$25,151","$48.54","$19,561","$77","$35,085","$28.70","$14,319","$22.64","$12,046","$15.85","$8,971"
"HIGHER EDUCATION ASSOCIATE","$152.55","$36,155","$0.24","$63","$3.40","$984","$5","$1,434","$0.00","$0","$0.00","$0","$0.00","$0"
